#ies_format_version: 1.0
#file: 20241212_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241212;	121152;	1734001912.000;	   +0.183
20241212;	121157;	1734001917.000;	   +0.463
20241212;	121202;	1734001922.000;	   +0.254
20241212;	121207;	1734001927.000;	   +0.364
20241212;	121212;	1734001932.000;	   +0.163
20241212;	121217;	1734001937.000;	   +0.000
20241212;	121222;	1734001942.000;	   +0.444
20241212;	121227;	1734001947.000;	   +0.158
20241212;	121232;	1734001952.000;	   +0.421
20241212;	121237;	1734001957.000;	   +0.323
20241212;	121242;	1734001962.000;	   +0.591
20241212;	121247;	1734001967.000;	   +0.074
20241212;	121252;	1734001972.000;	   +0.000
20241212;	121257;	1734001977.000;	   +0.460
20241212;	121302;	1734001982.000;	   +0.184
20241212;	121307;	1734001987.000;	   +0.000
20241212;	121312;	1734001992.000;	   +0.229
20241212;	121317;	1734001997.000;	   +0.348
20241212;	121322;	1734002002.000;	   +3.180
20241212;	121327;	1734002007.000;	   +0.000
20241212;	121332;	1734002012.000;	   +3.140
20241212;	121337;	1734002017.000;	   +1.218
20241212;	121342;	1734002022.000;	   +0.476
20241212;	121347;	1734002027.000;	   +0.231
20241212;	121352;	1734002032.000;	   +0.333
20241212;	121357;	1734002037.000;	   +0.393
20241212;	121402;	1734002042.000;	   +0.199
20241212;	121407;	1734002047.000;	   +0.233
20241212;	121412;	1734002052.000;	   +0.000
20241212;	121417;	1734002057.000;	   +0.388
20241212;	121422;	1734002062.000;	   +0.319
20241212;	121427;	1734002067.000;	   +0.288
20241212;	121432;	1734002072.000;	   +0.396
20241212;	121437;	1734002077.000;	   +0.064
20241212;	121442;	1734002082.000;	   +0.520
20241212;	121447;	1734002087.000;	   +0.261
20241212;	121452;	1734002092.000;	   +0.523
20241212;	121457;	1734002097.000;	   +0.291
20241212;	121502;	1734002102.000;	   +0.253
20241212;	121507;	1734002107.000;	   +0.652
20241212;	121512;	1734002112.000;	   +0.177
20241212;	121517;	1734002117.000;	   +1.187
20241212;	121522;	1734002122.000;	   +1.842
20241212;	121527;	1734002127.000;	   +0.490
20241212;	121532;	1734002132.000;	   +0.000
20241212;	121537;	1734002137.000;	   +0.310
20241212;	121542;	1734002142.000;	   +0.530
20241212;	121547;	1734002147.000;	   +0.000
20241212;	121552;	1734002152.000;	   +0.000
20241212;	121557;	1734002157.000;	   +0.342
20241212;	121602;	1734002162.000;	   +0.470
20241212;	121607;	1734002167.000;	   +2.323
20241212;	121612;	1734002172.000;	   +0.748
20241212;	121617;	1734002177.000;	   +0.000
20241212;	121622;	1734002182.000;	   +0.000
20241212;	121627;	1734002187.000;	   +0.158
20241212;	121632;	1734002192.000;	   +0.180
20241212;	121637;	1734002197.000;	   +0.051
20241212;	121642;	1734002202.000;	   +0.123
20241212;	121647;	1734002207.000;	   +0.084
20241212;	121652;	1734002212.000;	   +0.129
20241212;	121657;	1734002217.000;	   +0.126
20241212;	121702;	1734002222.000;	   +0.000
20241212;	121707;	1734002227.000;	   +0.145
20241212;	121712;	1734002232.000;	   +0.272
20241212;	121717;	1734002237.000;	   +0.340
20241212;	121722;	1734002242.000;	   +0.207
20241212;	121727;	1734002247.000;	   +0.000
20241212;	121732;	1734002252.000;	   +0.115
20241212;	121737;	1734002257.000;	   +0.212
20241212;	121742;	1734002262.000;	   +0.130
20241212;	121747;	1734002267.000;	   +0.178
20241212;	121752;	1734002272.000;	   +0.163
20241212;	121757;	1734002277.000;	   +0.172
20241212;	121802;	1734002282.000;	   +0.168
20241212;	121807;	1734002287.000;	   +0.174
20241212;	121812;	1734002292.000;	   +0.198
20241212;	121817;	1734002297.000;	   +0.143
20241212;	121822;	1734002302.000;	   +0.167
20241212;	121827;	1734002307.000;	   +0.161
20241212;	121832;	1734002312.000;	   +0.141
20241212;	121837;	1734002317.000;	   +0.148
20241212;	121842;	1734002322.000;	   +0.148
20241212;	121847;	1734002327.000;	   +0.151
20241212;	121852;	1734002332.000;	   +0.159
20241212;	121857;	1734002337.000;	   +0.155
20241212;	121902;	1734002342.000;	   +0.140
20241212;	121907;	1734002347.000;	   +0.157
20241212;	121912;	1734002352.000;	   +0.159
20241212;	121917;	1734002357.000;	   +0.166
20241212;	121922;	1734002362.000;	   +0.171
20241212;	121927;	1734002367.000;	   +0.151
20241212;	121932;	1734002372.000;	   +0.153
20241212;	121937;	1734002377.000;	   +0.113
20241212;	121942;	1734002382.000;	   +0.032
20241212;	121947;	1734002387.000;	   +0.137
20241212;	121952;	1734002392.000;	   +0.153
20241212;	121957;	1734002397.000;	   +0.161
20241212;	122002;	1734002402.000;	   +0.167
20241212;	122007;	1734002407.000;	   +0.176
20241212;	122012;	1734002412.000;	   +0.140
20241212;	122017;	1734002417.000;	   +0.212
20241212;	122022;	1734002422.000;	   +0.176
20241212;	122027;	1734002427.000;	   +0.555
20241212;	122032;	1734002432.000;	   +0.255
20241212;	122037;	1734002437.000;	   +0.000
20241212;	122042;	1734002442.000;	   +0.273
20241212;	122047;	1734002447.000;	   +0.344
20241212;	122052;	1734002452.000;	   +0.229
20241212;	122057;	1734002457.000;	   +0.170
20241212;	122102;	1734002462.000;	   +0.194
20241212;	122107;	1734002467.000;	   +0.175
20241212;	122112;	1734002472.000;	   +0.156
20241212;	122117;	1734002477.000;	   +0.157
20241212;	122122;	1734002482.000;	   +0.157
20241212;	122127;	1734002487.000;	   +0.148
20241212;	122132;	1734002492.000;	   +0.161
20241212;	122137;	1734002497.000;	   +0.165
20241212;	122142;	1734002502.000;	   +0.178
20241212;	122147;	1734002507.000;	   +0.156
20241212;	122152;	1734002512.000;	   +0.154
20241212;	122157;	1734002517.000;	   +0.164
20241212;	122202;	1734002522.000;	   +0.159
20241212;	122207;	1734002527.000;	   +0.177
20241212;	122212;	1734002532.000;	   +0.161
20241212;	122217;	1734002537.000;	   +0.150
20241212;	122222;	1734002542.000;	   +0.159
20241212;	122227;	1734002547.000;	   +0.161
20241212;	122232;	1734002552.000;	   +0.162
20241212;	122237;	1734002557.000;	   +0.170
20241212;	122242;	1734002562.000;	   +0.153
20241212;	122247;	1734002567.000;	   +0.158
20241212;	122252;	1734002572.000;	   +0.160
20241212;	122257;	1734002577.000;	   +0.165
20241212;	122302;	1734002582.000;	   +0.165
20241212;	122307;	1734002587.000;	   +0.165
20241212;	122312;	1734002592.000;	   +0.155
20241212;	122317;	1734002597.000;	   +0.168
20241212;	122322;	1734002602.000;	   +0.171
20241212;	122327;	1734002607.000;	   +0.161
20241212;	122332;	1734002612.000;	   +0.175
20241212;	122337;	1734002617.000;	   +0.146
20241212;	122342;	1734002622.000;	   +0.133
20241212;	122347;	1734002627.000;	   +0.142
20241212;	122352;	1734002632.000;	   +0.146
20241212;	122357;	1734002637.000;	   +0.147
20241212;	122402;	1734002642.000;	   +0.156
20241212;	122407;	1734002647.000;	   +0.006
20241212;	122412;	1734002652.000;	   +0.184
20241212;	122417;	1734002657.000;	   +0.143
20241212;	122422;	1734002662.000;	   +0.145
20241212;	122427;	1734002667.000;	   +0.128
20241212;	122432;	1734002672.000;	   +0.143
20241212;	122437;	1734002677.000;	   +0.137
20241212;	122442;	1734002682.000;	   +0.144
20241212;	122447;	1734002687.000;	   +0.152
20241212;	122452;	1734002692.000;	   +0.159
20241212;	122457;	1734002697.000;	   +0.149
20241212;	122502;	1734002702.000;	   +0.142
20241212;	122507;	1734002707.000;	   +0.147
20241212;	122512;	1734002712.000;	   +0.246
20241212;	122517;	1734002717.000;	   +0.149
20241212;	122522;	1734002722.000;	   +0.150
20241212;	122527;	1734002727.000;	   +0.156
20241212;	122532;	1734002732.000;	   +0.149
20241212;	122537;	1734002737.000;	   +0.163
20241212;	122542;	1734002742.000;	   +0.195
20241212;	122547;	1734002747.000;	   +0.105
20241212;	122552;	1734002752.000;	   +0.179
20241212;	122557;	1734002757.000;	   +0.162
20241212;	122602;	1734002762.000;	   +0.165
20241212;	122607;	1734002767.000;	   +0.167
20241212;	122612;	1734002772.000;	   +0.156
